fraksiya,t,vx,vy,vz,x,y,z
PM2.5,23.475000,5.000000,0.000000,-0.000282,117.3756,0.0000,19.9934
PM2.5,23.550000,5.000000,0.000000,-0.000282,117.7506,0.0000,19.9934
PM2.5,23.625000,5.000000,0.000000,-0.000282,118.1256,0.0000,19.9933
PM2.5,23.700000,5.000000,0.000000,-0.000282,118.5006,0.0000,19.9933
PM2.5,23.775000,5.000000,0.000000,-0.000282,118.8756,0.0000,19.9933
PM2.5,23.850000,5.000000,0.000000,-0.000282,119.2506,0.0000,19.9933
PM2.5,23.925000,5.000000,0.000000,-0.000282,119.6256,0.0000,19.9933
PM2.5,24.000000,5.000000,0.000000,-0.000282,120.0006,0.0000,19.9932
PM2.5,24.075000,5.000000,0.000000,-0.000282,120.3756,0.0000,19.9932
PM2.5,24.150000,5.000000,0.000000,-0.000282,120.7506,0.0000,19.9932
PM2.5,24.225000,5.000000,0.000000,-0.000282,121.1256,0.0000,19.9932
PM2.5,24.300000,5.000000,0.000000,-0.000282,121.5006,0.0000,19.9932
PM2.5,24.375000,5.000000,0.000000,-0.000282,121.8756,0.0000,19.9931
PM2.5,24.450000,5.000000,0.000000,-0.000282,122.2506,0.0000,19.9931
PM2.5,24.525000,5.000000,0.000000,-0.000282,122.6256,0.0000,19.9931
PM2.5,24.600000,5.000000,0.000000,-0.000282,123.0006,0.0000,19.9931
PM2.5,24.675000,5.000000,0.000000,-0.000282,123.3756,0.0000,19.9930
